Unnamed: 0;geometry;label;date;tile_number;id;location_id;image_dir;chemin_directory;date_satellites_S1;nouveau_chemin;latitude_centroid;longitude_centroid;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;pressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;sunrise;sunriseEpoch;sunset;sunsetEpoch;moonphase;conditions;description;icon;stations;source;timezone;folder
0;[[[36.801563, -17.829673], [36.802546, -17.875849], [36.850768, -17.874901], [36.849773, -17.828728], [36.801563, -17.829673]]];0;06/02/2019;-91;sen12floods_s1_labels_0165_2019_02_06;165;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0165_2019_02_06;'0165;20190206;['sen12flood\\0165\\S1A_IW_GRDH_1SDV_20190206T030815_20190206T030840_025803_02DEB0_ED53_corrected_VH.tif', 'sen12flood\\0165\\S1A_IW_GRDH_1SDV_20190206T030815_20190206T030840_025803_02DEB0_ED53_corrected_VV.tif'];-17.852288717102816;36.82616228015928;28.0;28.0;28.0;32.0;32.0;32.0;24.0;78.9;0.0;0.0;0.0;;;;;16.6;90.0;1012.0;73.9;10.0;;;;05:22:17;1549423337;18:10:59;1549469459;0.05;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['FQQL', '67283099999'];obs;Africa/Maputo;165
1;[[[30.079766, -1.947669], [30.079851, -1.993923], [30.125823, -1.993836], [30.125737, -1.947584], [30.079766, -1.947669]]];0;19/12/2018;26;sen12floods_s1_labels_0026_2018_12_19;26;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0026_2018_12_19;'0026;20181219;['sen12flood\\0026\\S1A_IW_GRDH_1SDV_20181219T162032_20181219T162057_025096_02C527_E0BD_corrected_VH.tif', 'sen12flood\\0026\\S1A_IW_GRDH_1SDV_20181219T162032_20181219T162057_025096_02C527_E0BD_corrected_VV.tif'];-1.9707530844628955;30.10279408465876;26.0;18.0;20.5;26.0;18.0;20.5;17.4;83.5;2.991;100.0;8.33;['rain'];;;;27.7;272.6;1019.8;74.3;9.0;;;;05:49:34;1545191374;18:03:40;1545235420;0.39;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;['HRYR', '64387099999', '64383099999'];obs;Africa/Kigali;26
2;[[[-1.734277, 6.731243], [-1.734397, 6.684938], [-1.688083, 6.684817], [-1.687959, 6.731121], [-1.734277, 6.731243]]];0;17/12/2018;100;sen12floods_s1_labels_0100_2018_12_17;100;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0100_2018_12_17;'0100;20181217;['sen12flood\\0100\\S1A_IW_GRDH_1SDV_20181217T181826_20181217T181851_025069_02C42B_6B4A_corrected_VH.tif', 'sen12flood\\0100\\S1A_IW_GRDH_1SDV_20181217T181826_20181217T181851_025069_02C42B_6B4A_corrected_VV.tif'];6.708030083684137;-1.7111790816002164;33.6;26.1;29.4;36.1;26.1;31.4;22.3;67.4;;0.0;0.0;;;;;11.2;291.0;1012.9;56.7;8.0;;;;06:10:55;1545027055;17:54:57;1545069297;0.33;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['65442099999'];obs;Africa/Accra;100
3;[[[146.754028, -19.184316], [146.753959, -19.230587], [146.802672, -19.230646], [146.802727, -19.184374], [146.754028, -19.184316]]];1;11/02/2019;49;sen12floods_s1_labels_0305_2019_02_11;305;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0305_2019_02_11;'0305;20190211;['sen12flood\\0305\\S1A_IW_GRDH_1SDV_20190211T194432_20190211T194457_025886_02E1B7_4856_corrected_VH.tif', 'sen12flood\\0305\\S1A_IW_GRDH_1SDV_20190211T194432_20190211T194457_025886_02E1B7_4856_corrected_VV.tif'];-19.20748185856037;146.7783465847574;36.1;25.9;30.3;38.8;25.9;33.4;22.2;68.1;0.0;0.0;0.0;;;;;24.1;76.0;1005.4;22.2;10.0;;;;06:03:10;1549828990;18:50:49;1549875049;0.21;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['95296099999', 'CBGR', 'YBTL', '94294099999', '95295099999', '95293099999'];obs;Australia/Brisbane;305
4;[[[48.748582, 30.637319], [48.749651, 30.591154], [48.803016, 30.592066], [48.801973, 30.638233], [48.748582, 30.637319]]];0;06/04/2019;-10;sen12floods_s1_labels_0246_2019_04_06;246;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0246_2019_04_06;'0246;20190406;['sen12flood\\0246\\S1A_IW_GRDH_1SDV_20190406T145101_20190406T145126_026671_02FE34_475A_corrected_VH.tif', 'sen12flood\\0246\\S1A_IW_GRDH_1SDV_20190406T145101_20190406T145126_026671_02FE34_475A_corrected_VV.tif'];30.61469487904957;48.77580560687281;31.1;19.6;25.5;30.5;19.6;25.4;15.1;54.4;;0.0;0.0;;;;42.5;23.1;119.3;1010.9;50.6;10.0;;;;06:58:32;1554517712;19:36:46;1554563206;0.03;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['OIAM', 'OIAW', '40831099999', '40811099999', '40780199999', 'OIAA'];obs;Asia/Tehran;246
5;[[[48.582169, 31.532204], [48.583358, 31.48605], [48.637218, 31.487056], [48.636056, 31.533212], [48.582169, 31.532204]]];0;09/03/2019;16;sen12floods_s1_labels_0272_2019_03_09;272;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0272_2019_03_09;'0272;20190309;['sen12flood\\0272\\S1A_IW_GRDH_1SDV_20190309T024629_20190309T024654_026255_02EEED_1759_corrected_VH.tif', 'sen12flood\\0272\\S1A_IW_GRDH_1SDV_20190309T024629_20190309T024654_026255_02EEED_1759_corrected_VV.tif'];31.509632433075737;48.60970034621571;21.8;11.0;16.1;21.8;11.0;16.1;5.5;51.5;;0.0;0.0;;;;;11.2;327.1;1017.9;30.4;10.0;;;;06:33:40;1552100620;18:19:09;1552142949;0.09;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['OIAW', '40811099999'];obs;Asia/Tehran;272
6;[[[32.797613, -19.779918], [32.797555, -19.826187], [32.846447, -19.826235], [32.846492, -19.779967], [32.797613, -19.779918]]];0;28/02/2019;-42;sen12floods_s1_labels_0214_2019_02_28;214;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0214_2019_02_28;'0214;20190228;['sen12flood\\0214\\S1B_IW_GRDH_1SDV_20190228T162319_20190228T162344_015148_01C539_5754_corrected_VH.tif', 'sen12flood\\0214\\S1B_IW_GRDH_1SDV_20190228T162319_20190228T162344_015148_01C539_5754_corrected_VV.tif'];-19.80307777516157;32.82202665967658;29.6;23.4;26.1;31.5;23.4;27.0;20.4;71.6;;0.0;0.0;;;;;14.8;56.0;;7.5;27.6;;;;05:45:58;1551325558;18:16:20;1551370580;0.79;Clear;Clear conditions throughout the day.;clear-day;['67897099999', '67983099999', '67299199999'];obs;Africa/Harare;214
7;[[[146.851344, -19.276963], [146.851302, -19.323235], [146.900043, -19.323268], [146.900071, -19.276997], [146.851344, -19.276963]]];1;07/03/2019;65;sen12floods_s1_labels_0321_2019_03_07;321;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0321_2019_03_07;'0321;20190307;['sen12flood\\0321\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VH.tif', 'sen12flood\\0321\\S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B_corrected_VV.tif'];-19.30011685759436;146.87568991054934;32.0;21.6;26.6;35.8;21.6;28.1;21.5;75.6;3.141;100.0;8.33;['rain'];;;;27.7;94.5;1010.8;33.6;10.0;;;;06:12:20;1551903140;18:34:43;1551947683;0.0;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['95296099999', 'CBGR', 'YBTL', '94294099999', '95295099999', '95293099999'];obs;Australia/Brisbane;321
8;[[[34.858912, -19.587629], [34.859444, -19.633874], [34.908251, -19.633363], [34.907706, -19.587119], [34.858912, -19.587629]]];0;06/02/2019;-113;sen12floods_s1_labels_0143_2019_02_06;143;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0143_2019_02_06;'0143;20190206;['sen12flood\\0143\\S1A_IW_GRDH_1SDV_20190206T030840_20190206T030905_025803_02DEB0_5440_corrected_VH.tif', 'sen12flood\\0143\\S1A_IW_GRDH_1SDV_20190206T030840_20190206T030905_025803_02DEB0_5440_corrected_VV.tif', 'sen12flood\\0143\\S1A_IW_GRDH_1SDV_20190206T030905_20190206T030930_025803_02DEB0_2CC8_corrected_VH.tif', 'sen12flood\\0143\\S1A_IW_GRDH_1SDV_20190206T030905_20190206T030930_025803_02DEB0_2CC8_corrected_VV.tif', 'sen12flood\\0143\\S1B_IW_GRDH_1SDV_20190206T160653_20190206T160722_014827_01BABE_8777_corrected_VH.tif', 'sen12flood\\0143\\S1B_IW_GRDH_1SDV_20190206T160653_20190206T160722_014827_01BABE_8777_corrected_VV.tif'];-19.610497278181253;34.88357818599258;30.7;26.0;28.0;36.2;26.0;30.7;23.3;76.2;0.0;0.0;0.0;;;;;0.0;;1012.2;52.3;11.5;;;;05:27:47;1549423667;18:21:00;1549470060;0.05;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;['FQBR', '67297099999'];obs;Africa/Maputo;143
9;[[[146.802617, -19.276917], [146.802561, -19.323189], [146.851302, -19.323235], [146.851344, -19.276963], [146.802617, -19.276917]]];1;23/02/2019;64;sen12floods_s1_labels_0320_2019_02_23;320;../input/sen12flood/sen12flood/sen12floods_s1_source/sen12floods_s1_source//sen12floods_s1_source_0320_2019_02_23;'0320;20190223;['sen12flood\\0320\\S1A_IW_GRDH_1SDV_20190223T194432_20190223T194457_026061_02E7F3_3C3A_corrected_VH.tif', 'sen12flood\\0320\\S1A_IW_GRDH_1SDV_20190223T194432_20190223T194457_026061_02E7F3_3C3A_corrected_VV.tif'];-19.30007710772546;146.82695599766717;30.6;26.9;28.5;34.2;29.3;32.0;23.1;73.3;0.138;100.0;8.33;['rain'];;;;25.2;75.9;1010.3;60.6;10.0;;;;06:08:16;1550866096;18:43:43;1550911423;0.61;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;['95296099999', 'CBGR', 'YBTL', '94294099999', '95295099999', '95293099999'];obs;Australia/Brisbane;320
