2025-06-08 15:57:54,324 - INFO - Nombre de coordonn�es uniques: 335
2025-06-08 15:57:54,785 - ERROR - HTTP 422 for coord -19.70349235645976,34.8358294372435
2025-06-08 15:57:54,786 - INFO - Coord (np.float64(-19.70349235645976), np.float64(34.8358294372435)) -> soil_type: None
2025-06-08 15:57:56,182 - ERROR - HTTP 422 for coord 8.47028266557073,-13.254903829952044
2025-06-08 15:57:56,183 - INFO - Coord (np.float64(8.47028266557073), np.float64(-13.254903829952044)) -> soil_type: None
2025-06-08 15:57:57,614 - ERROR - HTTP 422 for coord -33.87317276751002,18.65435223951837
2025-06-08 15:57:57,618 - INFO - Coord (np.float64(-33.87317276751002), np.float64(18.65435223951837)) -> soil_type: None
2025-06-08 15:57:59,075 - ERROR - HTTP 422 for coord -33.87421384434506,18.70966768802728
2025-06-08 15:57:59,077 - INFO - Coord (np.float64(-33.87421384434506), np.float64(18.70966768802728)) -> soil_type: None
2025-06-08 15:58:00,455 - ERROR - HTTP 422 for coord -33.92035426640421,18.70843324199328
2025-06-08 15:58:00,457 - INFO - Coord (np.float64(-33.92035426640421), np.float64(18.70843324199328)) -> soil_type: None
2025-06-08 15:58:01,826 - ERROR - HTTP 422 for coord -1.2188415841631657,36.68027741544433
2025-06-08 15:58:01,830 - INFO - Coord (np.float64(-1.2188415841631657), np.float64(36.68027741544433)) -> soil_type: None
2025-06-08 15:58:03,218 - ERROR - HTTP 422 for coord -1.2189193340141098,36.77224933265582
2025-06-08 15:58:03,222 - INFO - Coord (np.float64(-1.2189193340141098), np.float64(36.77224933265582)) -> soil_type: None
2025-06-08 15:58:04,582 - ERROR - HTTP 422 for coord -1.218957584148657,36.8182374154517
2025-06-08 15:58:04,582 - INFO - Coord (np.float64(-1.218957584148657), np.float64(36.8182374154517)) -> soil_type: None
2025-06-08 15:58:05,948 - ERROR - HTTP 422 for coord -1.2189948340068533,36.8642268326631
2025-06-08 15:58:05,950 - INFO - Coord (np.float64(-1.2189948340068533), np.float64(36.8642268326631)) -> soil_type: None
2025-06-08 15:58:07,314 - ERROR - HTTP 422 for coord -1.2651253340231492,36.68023683264673
2025-06-08 15:58:07,318 - INFO - Coord (np.float64(-1.2651253340231492), np.float64(36.68023683264673)) -> soil_type: None
2025-06-08 15:58:08,757 - ERROR - HTTP 422 for coord -1.2651660841649428,36.726222915446144
2025-06-08 15:58:08,759 - INFO - Coord (np.float64(-1.2651660841649428), np.float64(36.726222915446144)) -> soil_type: None
2025-06-08 15:58:10,099 - ERROR - HTTP 422 for coord -1.265206084161285,36.77221041544802
2025-06-08 15:58:10,100 - INFO - Coord (np.float64(-1.265206084161285), np.float64(36.77221041544802)) -> soil_type: None
2025-06-08 15:58:11,477 - ERROR - HTTP 422 for coord -1.2652458340158768,36.81819933265405
2025-06-08 15:58:11,477 - INFO - Coord (np.float64(-1.2652458340158768), np.float64(36.81819933265405)) -> soil_type: None
2025-06-08 15:58:12,842 - ERROR - HTTP 422 for coord -1.3114513340231193,36.72618183264675
2025-06-08 15:58:12,846 - INFO - Coord (np.float64(-1.3114513340231193), np.float64(36.72618183264675)) -> soil_type: None
2025-06-08 15:58:14,203 - ERROR - HTTP 422 for coord -1.3115337501453932,36.8181600827976
2025-06-08 15:58:14,206 - INFO - Coord (np.float64(-1.3115337501453932), np.float64(36.8181600827976)) -> soil_type: None
2025-06-08 15:58:15,571 - ERROR - HTTP 422 for coord -1.3115738342993817,36.86415149825291
