Variable,Importance (%)
tempmax,6.386562887940799
precipcover,6.328376410399406
dew,6.274715035909644
feelslikemax,6.215273236398887
tempmin,6.079750985097018
precipprob,6.062722477040195
feelslikemin,6.055876771896336
pressure,5.52958534706342
elevation,5.461939403776251
feelslike,5.39974416978109
historique_region,5.315601149299213
temp,5.2370066371639945
humidity,5.202452513613825
windspeed,4.948765361466862
winddir,4.589360618173377
visibility,4.090689237152548
cloudcover,4.016632938808086
soil_Regosols,1.071196319046158
soil_Acrisols,1.0636896956623159
soil_No_information,0.7709731600918301
soil_Solonchaks,0.526784681518384
soil_Arenosols,0.5082363819944373
soil_Lixisols,0.47781840023251404
soil_Gleysols,0.45779765777530024
soil_Nitisols,0.4458469725337151
soil_Fluvisols,0.43602349025157444
soil_Planosols,0.41574567356172437
soil_Luvisols,0.21323665086317561
soil_Ferralsols,0.17906472082541303
soil_Cambisols,0.10807885707446771
soil_Calcisols,0.09089602547380703
soil_Vertisols,0.039556132114221605
