location_id,image_number,date,label,orbit,filename,folder,image_dir,chemin_directory,date_satellites_S1,image_files,nouveau_chemin
0063,1,2019-01-28,0,ASCENDING,S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615,0063,sen12floods_s1_source\sen12floods_s1_source_0063_20190128,0063,20190128,"['sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VH.tif', 'sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VV.tif']","['sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VH.tif', 'sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190128T163241_20190128T163306_014696_01B65E_5615_corrected_VV.tif']"
0063,2,2019-02-09,0,ASCENDING,S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74,0063,sen12floods_s1_source\sen12floods_s1_source_0063_20190209,0063,20190209,"['sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74_corrected_VH.tif', 'sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74_corrected_VV.tif']","['sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74_corrected_VH.tif', 'sen12flood\\0063\\S1B_IW_GRDH_1SDV_20190209T163240_20190209T163305_014871_01BC1F_7E74_corrected_VV.tif']"
0200,1,2019-02-23,0,DESCENDING,S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190223,0200,20190223,"['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VV.tif']","['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5_corrected_VV.tif']"
0200,2,2019-02-28,0,ASCENDING,S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190228,0200,20190228,"['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF_corrected_VV.tif']","['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190228T162250_20190228T162319_015148_01C539_2FEF_corrected_VV.tif']"
0200,3,2019-03-07,0,DESCENDING,S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190307,0200,20190307,"['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209_corrected_VV.tif']","['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209_corrected_VV.tif']"
0200,4,2019-03-12,0,ASCENDING,S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190312,0200,20190312,"['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4_corrected_VV.tif']","['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190312T162250_20190312T162319_015323_01CAFA_CAE4_corrected_VV.tif']"
0200,5,2019-03-18,1,ASCENDING,S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190318,0200,20190318,"['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335_corrected_VV.tif']","['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335_corrected_VV.tif']"
0200,6,2019-03-19,1,DESCENDING,S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190319,0200,20190319,"['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37_corrected_VV.tif']","['sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37_corrected_VH.tif', 'sen12flood\\0200\\S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37_corrected_VV.tif']"
0200,7,2019-03-24,1,ASCENDING,S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190324,0200,20190324,"['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9_corrected_VV.tif']","['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190324T162250_20190324T162319_015498_01D0A4_18F9_corrected_VV.tif']"
0200,8,2019-03-25,1,DESCENDING,S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490,0200,sen12floods_s1_source\sen12floods_s1_source_0200_20190325,0200,20190325,"['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VV.tif']","['sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VH.tif', 'sen12flood\\0200\\S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490_corrected_VV.tif']"
